,Data,Hospitalizowane,województwo
662,2020-06-28,67,łódzkie
663,2020-06-29,55,łódzkie
664,2020-06-30,45,łódzkie
665,2020-07-01,34,łódzkie
666,2020-07-02,44,łódzkie
667,2020-07-03,40,łódzkie
668,2020-07-04,47,łódzkie
669,2020-07-05,47,łódzkie
670,2020-07-06,32,łódzkie
671,2020-07-07,44,łódzkie
672,2020-07-08,38,łódzkie
673,2020-07-09,32,łódzkie
674,2020-07-10,46,łódzkie
675,2020-07-11,49,łódzkie
676,2020-07-12,56,łódzkie
677,2020-07-13,39,łódzkie
678,2020-07-14,35,łódzkie
679,2020-07-15,24,łódzkie
680,2020-07-16,41,łódzkie
681,2020-07-17,29,łódzkie
682,2020-07-18,46,łódzkie
683,2020-07-19,60,łódzkie
684,2020-07-20,33,łódzkie
685,2020-07-21,32,łódzkie
686,2020-07-22,35,łódzkie
687,2020-07-23,42,łódzkie
688,2020-07-24,28,łódzkie
689,2020-07-25,56,łódzkie
690,2020-07-26,60,łódzkie
691,2020-07-27,43,łódzkie
692,2020-07-28,39,łódzkie
693,2020-07-29,45,łódzkie
694,2020-07-30,30,łódzkie
695,2020-07-31,40,łódzkie
696,2020-08-01,63,łódzkie
697,2020-08-02,77,łódzkie
698,2020-03-11,12,małopolskie
699,2020-03-12,15,małopolskie
700,2020-03-13,23,małopolskie
701,2020-03-14,31,małopolskie
702,2020-03-15,33,małopolskie
703,2020-03-16,16,małopolskie
704,2020-03-17,24,małopolskie
705,2020-03-18,19,małopolskie
706,2020-03-19,23,małopolskie
707,2020-03-20,30,małopolskie
708,2020-03-21,38,małopolskie
709,2020-03-22,40,małopolskie
710,2020-03-23,39,małopolskie
711,2020-03-24,38,małopolskie
712,2020-03-25,48,małopolskie
713,2020-03-26,60,małopolskie
714,2020-03-27,61,małopolskie
715,2020-03-28,75,małopolskie
716,2020-03-29,79,małopolskie
717,2020-03-30,77,małopolskie
718,2020-03-31,87,małopolskie
719,2020-04-02,118,małopolskie
720,2020-04-03,126,małopolskie
721,2020-04-04,138,małopolskie
722,2020-04-05,87,małopolskie
723,2020-04-06,133,małopolskie
724,2020-04-07,146,małopolskie
725,2020-04-08,149,małopolskie
726,2020-04-09,163,małopolskie
727,2020-04-10,179,małopolskie
728,2020-04-11,182,małopolskie
729,2020-04-12,192,małopolskie
730,2020-04-13,203,małopolskie
731,2020-04-14,192,małopolskie
732,2020-04-15,196,małopolskie
733,2020-04-16,186,małopolskie
734,2020-04-17,177,małopolskie
735,2020-04-18,177,małopolskie
736,2020-04-19,190,małopolskie
737,2020-04-20,200,małopolskie
738,2020-04-21,200,małopolskie
739,2020-04-22,193,małopolskie
740,2020-04-23,198,małopolskie
741,2020-04-24,204,małopolskie
742,2020-04-25,202,małopolskie
743,2020-04-26,205,małopolskie
744,2020-04-27,202,małopolskie
745,2020-04-28,200,małopolskie
746,2020-04-29,191,małopolskie
747,2020-04-30,189,małopolskie
748,2020-05-01,182,małopolskie
749,2020-05-02,174,małopolskie
750,2020-05-03,176,małopolskie
751,2020-05-04,175,małopolskie
